CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	 2015	Q4 2015	 2014	Q4 2014	 2013
Nợ dài hạn###Long term Liabilities	47197741	46708535	47523681	33728342	29831976	22101829	21157184	21507833	15548936	15885866	12323722	13552375	13552375	15434421	12726527	12324792	11468962	12721844	12636758	7802439	7120575	7120575	2825091	2777822	2465390
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	24696111	24461074	24455876	22489986	22193277	20749331	19969800	20472602	18373435	17466571	13471350	13256391	13256391	12463284	12286522	10713052	10046890	10042788	7618084	9336233	6095209	6095209	3362345	3362345	878501
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Vốn chủ sở hữu ###Owners equity	24696111	24461074	24455876	22489986	22193277	20749331	19969800	20472602	18373435	17466571	13471350	13256391	13256391	12463284	12286522	10713052	10046890	10042788	7618084	9336233	6095209	6095209	3362345	3362345	878501
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	560268
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q3 2015	 2014	 2013
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	1067607	11026233	1387024	1524634	3165863	4948927	15635304	8848555	2457895	2404525	1924263	11759394	5945890	2439660	1442512	1931332	7369463	183938	2218563	2771821	2195141	6692628	812236	2817026	1600398
Các khoản giảm trừ doanh thu###Deduction revenues	113390	95250	6565	18492	31135	39058	345027	291492	14481	21838	17216	127058	50263	36221	19128	21446	10282	887	8586	0	808	19193	0	15215	0
Doanh thu thuần###Net Sales	954218	10930983	1380460	1506142	3134728	4909870	15290277	8557063	2443413	2382687	1907047	11632336	5895627	2403438	1423384	1909886	7359181	183051	2209976	2771821	2194333	6673435	812236	2801811	1600398
Giá vốn hàng bán###Cost of goods sold	588621	7779325	912877	984330	2252929	3628656	10132300	5469998	1782335	1523577	1356334	8375505	4299323	1552520	1072310	1451353	5776101	4687	2038107	1971711	1740672	5333572	790979	2326440	1279848
Lợi nhuận gộp###Gross profit	365596	3151658	467582	521812	881799	1281214	5157976	3087065	661078	859110	550713	3256831	1596304	850919	351075	458534	1583080	178364	171870	800110	453660	1339863	21257	475371	320549
Doanh thu hoạt động tài chính###Financial activities Revenues	857700	1027208	440103	359693	95584	133864	1296607	307124	85854	777392	126313	1696524	254746	222982	754283	464513	2523043	630325	461702	1355319	78579	334611	187232	60441	22429
Chi phí tài chính###Financial Expenses	386561	2084714	625502	256267	742946	468889	1932436	532143	471628	450696	477970	1463310	575307	348440	299052	240511	1115230	435774	362232	142856	202374	440475	207755	188275	217557
Chi phí bán hàng###Selling Expenses	9818	294869	86354	57956	79595	70965	424217	198836	89105	74731	61546	258292	131913	41859	48688	35832	165485	26443	26767	73078	37032	238914	49487	126413	63645
Chi phí quản lý doanh nghiệp###Managing Expenses	264139	1197219	339962	286579	315396	267012	727814	242356	173208	185455	138752	676194	176224	120440	295600	83930	641601	169293	228033	165812	84681	359824	92251	105087	50859
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	561763	592485	-144358	270479	-159765	608448	4688876	2684917	827500	930471	234338	2567639	984368	557008	463353	562909	2184305	187045	18388	1774205	208152	636253	-140523	116626	10917
Thu nhập khác###Other incomes	4991	3847135	2582617	300998	955443	8292	71220	48080	9714	9232	4049	62423	47511	4565	4628	5719	44525	10255	14716	21332	11712	32757	9320	20919	13649
Chi phí khác###Other Expenses	77463	167284	63984	14556	50098	38696	74482	28883	34113	3096	8390	41562	19156	3483	2665	16259	39126	5779	16255	18877	11705	60897	16065	7236	5701
Lợi nhuận khác###Other profits	-72472	3679851	2518633	286442	905345	-30404	-3262	19197	-24399	6136	-4341	20860	28355	1082	1963	-10540	5399	4476	-1539	2455	6	-28140	-6746	13683	7948
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	489291	4272336	2374275	556920	745579	578044	4685614	2704115	803101	936607	229997	2588499	1012724	558090	465316	552369	2189704	191522	16850	1776660	208158	608113	-147269	130309	16998
Chi phí thuế TNDN###Corporate Income Tax Expenses	186734	884914	77039	270368	239831	296341	1406665	849353	135951	319693	101594	526856	295025	55315	32648	143868	530354	97143	-4969	392584	53184	166353	7918	34129	9439
Chi phí thuế TNDN###Corporate Income Tax Expenses	40518	692528	100690	127684	182607	281582	986172	520927	119072	212659	133514	810648	356754	218768	100848	134278	327371	44539	41981	177596	63553	204312	7957	32466	9015
Chi phí thuế TNDN###Corporate Income Tax Expenses	146217	192385	-23651	142684	57225	14759	420493	328426	16879	107035	-31921	-283792	-61729	-163453	-68200	9590	202983	52604	-46949	214988	-10369	-37959	-39	1663	424
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	283203	3343413	2286156	272495	495315	273276	3319020	1862416	677041	616914	130937	2089804	724227	517546	434380	413651	1653621	94378	21818	1384077	154974	468097	-155187	98664	7558
---Cac Chi So Tai Chinh---																									
EBITDA	0.18	0.42	0.42	0.02	0.11	0.40	0.51	0.51	0.58	0.61	0.51	0.15	0.15	0.32	0.01	-0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	51.90	59.50	59.50	63.80	59.60	55.80	64.20	64.20	66.50	51.00	69.20	49.69	49.69	46.95	51.91	52.82	45.88	45.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00
