CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006	 2005
Lợi thế thương mại	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bất động sản đầu tư ###Real Estate Investment	369037	377327	377327	325979	333341	290453	278917	278917	252423	247715	252527	260442	260442	267451	227215	213318	219588	219588	205471	191325	151105	157238	157238	162177	169405	135604	142448	142448	125239	130826	125630	131208	131208	106928	112688	118489	67855	67855	68664	71020	72787	76058	76058	78580	81106	73678	71227	71578	73600	46555	36565	37998	38001	35189	34636	19620	20333	20333	6200	5889	1534	1653	1677
Các khoản đầu tư tài chính dài hạn###Long term Finacial Investments	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	210836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	190836	167036	160036	160036	160036	160036	160036	160036	160036	160036	160036	160036	160036	160036	160036	160036	160036	160036	160036	160036	160036	149249	149249	86213	86213	97000	97000	97000	22250	0	750
Tài sản dài hạn khác###Other long term assets	218951	220656	220656	221869	217830	217215	218566	218566	217676	216844	216807	216616	216616	225447	209467	210491	212225	212225	212151	212896	209568	211953	211953	212681	205889	205790	205099	205099	206596	207404	208769	209828	209828	141654	143329	119190	117593	117593	104831	104788	104979	104722	104722	1545	1723	1839	1743	4398	424	292	223	228	235	696	208	163	39	0	0	0	0	0	145
TỔNG CỘNG TÀI SẢN ###TOTAL ASSETS	1660418	1637040	1637040	1614045	1666237	1621083	1599242	1599242	1603707	1601884	1586482	1515754	1515754	1522179	1562798	1535590	1508434	1508434	1486689	1406999	1321858	1286749	1286749	1273797	1287989	1244830	1234439	1234439	1223542	1238894	1154597	1143268	1142691	1122313	1092108	1118823	1085829	1085080	1016490	1031611	1019874	986921	972017	865188	833794	795633	800036	804441	794278	759093	760785	787735	787274	736130	690123	684285	645673	656421	689197	638816	597994	423574	267357
Nợ phải trả ###Liabilities	931292	930177	930047	1008401	1086739	1019595	1020294	1020294	1032607	1058984	1030093	987601	987601	1016945	1064694	995618	988089	988089	981916	932093	879892	857587	857587	816033	843957	779248	773920	773920	758189	780515	674389	672691	629291	610900	597980	595954	572213	572310	540986	562499	541561	516519	485234	378489	342762	298914	310462	314943	302282	286168	293607	318339	304957	512141	456680	469696	444476	444956	443371	432237	395753	294183	171212
Nợ ngắn hạn###Short term Liabilities	126199	127686	117856	97874	182248	121041	123038	123038	102609	132515	102409	94770	94770	95533	141783	81250	74615	74615	71372	91014	128916	99220	99220	44763	105342	69525	63023	79998	65525	82765	78976	77562	78154	42860	62772	68302	68170	122235	138682	160180	152716	155104	123819	112625	121856	113056	140638	145332	139836	133802	145599	311611	298229	503919	448464	462010	434621	435160	435381	424705	390688	289309	161583
Nợ dài hạn###Long term Liabilities	805093	802491	812191	910527	904491	898555	897257	897257	929998	926470	927683	892831	892831	921412	922911	914368	913474	913474	910543	841079	750976	758367	758367	771270	738615	709723	710897	693922	692664	697750	595413	595129	551137	568040	535208	527653	504043	450075	402305	402318	388844	361415	361415	265864	220906	185858	169824	169612	162445	152366	148008	6728	6728	8222	8216	7686	9855	9796	7990	7531	5064	4874	9629
Dự phòng nghiệp vụ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
No khac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	8	0	0	0	0	0	9	0
Vốn chủ sở hữu ###Owners equity	729126	706863	706993	605644	579498	601488	578948	578948	571101	542900	556389	528153	528153	505234	498104	539972	520345	520345	504773	474907	441966	429162	429162	457764	444032	465582	460518	460518	465353	458378	480208	470577	513400	511413	494129	522869	513616	512770	475504	469113	478314	470402	486783	486699	491032	496719	489574	489498	491996	472925	467178	469396	482316	223988	233443	214589	201197	211465	245826	206580	202242	129391	96145
Nguồn kinh phí và quỹ khác###Expenditures and Other Funds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4183	4478	4987	-21	693	693	1661	2401	0	0	440
Vốn chủ sở hữu ###Owners equity	729126	706863	706993	605644	579498	601488	578948	578948	571101	542900	556389	528153	528153	505234	498104	539972	520345	520345	504773	474907	441966	429162	429162	457764	444032	465582	460518	460518	465353	458378	480208	470577	513400	511413	494129	522869	513616	512770	475504	469113	478314	470402	486783	486699	491032	496719	489574	489498	491996	472925	467178	469396	478134	219510	228456	214610	200504	210772	244165	204179	202242	129391	95704
Lợi ích của cổ đông thiểu số	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TỔNG CỘNG NGUỒN VỐN ###TOTAL EQUITY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1238894	1154597	1143268	1142691	1122313	1092108	1118823	1085829	1085080	1016490	1031611	1019874	986921	972017	865188	833794	795633	800036	804441	794278	759093	760785	787735	787274	736130	705776	684285	645673	656421	689197	638816	597994	423574	267357



KET QUA KINH DOANH	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	Q2 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	86762	371051	98431	93097	93230	86293	364863	93281	91623	93879	86079	321894	92504	86240	73959	69192	286361	75141	64252	94861	52108	192396	51584	47990	51359	41464	180114	53940	44214	38475	43485	157823	37092	46421	40481	33829	129769	34790	34692	31525	28762	134074	58989	27859	25993	21234	130873	47786	42947	20159	20192	77374	17462	11244	22919	25750	227243	18961	81217	58991	244846	89922	251357	170100
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	1072	0	0	1072	0	4707	976	769	1779	1184	2586	737	704	814	331	814	0	814	0	0	4579	0	3107	347	1126	723	352	0	370	0	3853	1229	0	1864	760	1316	0	12	0	1304	0	0	0	0	0	0	0	0	0	5	0	0	729
Doanh thu thuần###Net Sales	86762	371051	98431	93097	93230	86293	364863	93281	91623	93879	86079	320823	92504	86240	72887	69192	281654	74165	63483	93083	50924	189810	50847	47285	50545	41133	179300	53940	43400	38475	43485	153243	37092	43314	40135	32703	129047	34437	34692	31155	28762	130221	57759	27859	24129	20474	129557	47786	42935	20159	18889	77374	17462	11244	22919	25750	227243	18961	81217	58991	244840	89922	251357	169371
Giá vốn hàng bán###Cost of goods sold	56685	251942	71381	62752	61893	55916	242890	65657	62935	60459	53839	222829	68072	60175	49969	44613	170099	50770	38903	44690	35737	143309	38959	35735	38713	29903	137932	39970	33975	31274	32712	118467	31204	31929	29281	26053	96733	15240	28975	28060	24612	100520	33374	20228	18881	15379	79821	27349	22520	17063	13113	51569	10579	9368	15245	15159	89274	10153	42696	38152	168953	61707	193001	135817
Lợi nhuận gộp###Gross profit	30077	119109	27050	30345	31337	30377	121973	27624	28688	33421	32240	97994	24431	26065	22918	24579	111555	23394	24580	48393	15187	46502	11888	11550	11833	11230	41369	13971	9425	7201	10773	34777	5888	11385	10854	6650	32314	19198	5717	3094	4151	29700	24385	7631	5248	5095	49736	20438	20415	3096	5775	25805	6883	1876	7674	10591	137969	8808	38521	20839	75887	28215	58356	33554
Doanh thu hoạt động tài chính###Financial activities Revenues	7873	47060	15981	13627	9634	7818	48810	16367	14126	8373	9944	44694	11844	12283	12485	8082	39992	13411	15440	6029	5112	30855	5565	9589	10577	5125	30584	9467	5650	10695	4771	34415	6256	11801	7791	8594	46198	10172	10145	13931	10806	50897	13160	11053	19966	6718	36549	7462	8086	10150	11152	35550	16762	3641	8357	6790	40096	14826	12754	6329	7371	1486	2593	895
Chi phí tài chính###Financial Expenses	0	0	0	0	0	0	77	0	1	41	36	289	52	62	82	93	456	124	106	108	118	615	165	137	157	156	1104	168	175	185	576	600	-10	411	200	0	1559	1059	0	0	0	148	146	1	1	0	186	100	0	0	86	55	55	0	0	0	11114	0	0	0	0	0	40	815
Chi phí bán hàng###Selling Expenses	827	4693	1163	1936	879	716	2726	1099	1058	254	314	2395	760	546	620	469	1759	473	355	231	700	1873	379	328	876	291	1280	438	244	355	243	1715	552	247	737	179	2403	530	1090	651	131	824	468	23	180	153	1595	1091	212	143	149	459	104	1	106	248	314	984	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	8981	39346	10926	9938	8770	9712	41070	12820	8987	10805	8459	34849	8556	8435	9418	8440	28649	8976	6540	8840	4294	22569	7564	5310	6117	3578	19874	7016	6346	3132	3380	19265	6071	2962	5529	4652	17408	4835	4760	4688	3075	17279	5614	5889	3037	2751	13638	3721	4469	2686	2763	11270	4394	2139	2358	2379	6515	6635	1135	1411	1338	217	1108	2594
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	28142	122130	30942	32098	31322	27767	126909	30072	32768	30694	33375	105155	26909	29305	25283	23658	120683	27232	33020	45243	15187	52299	9346	15365	15259	12330	49694	15816	8310	14224	11344	47611	5531	19566	12178	10413	57143	22946	10012	11686	11750	62346	31317	12771	21997	8910	70867	22988	23820	10417	13929	49570	19092	3376	13567	14753	160122	16015	50141	25757	81921	29485	59801	31040
Thu nhập khác###Other incomes	181	6313	4272	343	371	1327	3742	1649	557	1437	100	495	106	0	379	10	10902	10239	588	74	1	687	187	103	91	307	1138	288	96	-21	774	2006	56	279	322	1349	2072	747	1092	199	34	1169	379	660	120	11	604	36	278	15	275	1771	1495	6	176	95	350	137	103	97	479	216	762	143
Chi phí khác###Other Expenses	171	1420	491	275	2	651	1277	1277	0	0	0	21	21	0	0	0	10273	10273	0	0	0	195	125	0	0	69	420	14	0	6	400	1785	1441	24	284	36	2019	524	751	130	613	1216	106	0	35	1	49	17	0	19	13	105	24	21	13	47	82	52	3	11	550	0	9	13
Lợi nhuận khác###Other profits	10	4893	3780	68	368	676	2465	372	557	1437	100	474	85	0	379	10	629	-34	588	74	1	493	62	102	91	238	717	274	96	-27	374	221	-1385	255	38	1313	53	222	340	69	-579	-47	272	660	85	10	554	18	278	-4	262	1666	1471	-15	163	47	268	85	100	86	-71	0	753	130
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	28152	127023	34723	32166	31691	28443	129374	30444	33325	32130	33475	105629	26994	29305	25662	23668	121311	27199	33608	45317	15188	52792	9408	15467	15349	12569	50411	16090	8406	14197	11718	47832	4147	19821	12216	11726	57196	23168	10353	11755	11171	62299	31590	13431	22081	8920	71421	23006	24098	10413	14190	51236	20563	3361	13731	14800	160390	16099	50241	25843	81850	29702	60554	31170
Chi phí thuế TNDN###Corporate Income Tax Expenses	5889	24072	5722	6020	6427	5903	20307	4406	5124	5537	5239	16592	4612	3984	3955	4042	18411	3979	3741	8307	2384	6970	1655	1735	1675	1905	7008	1999	1432	1490	2088	8398	1995	2537	0	0	11493	0	0	0	3260	16517	6624	2934	3818	1775	14989	5505	5027	1593	3227	7336	3068	566	2557	1211	27008	15860	10255	5274	14787	0	11493	6586
Chi phí thuế TNDN###Corporate Income Tax Expenses	5846	23901	5678	5977	6385	5861	20415	4615	5091	5504	5205	16458	4579	3950	3921	4008	20319	5887	3741	8307	2384	6970	1655	1735	1675	1905	7008	1999	1432	1490	2088	8398	1995	2537	2271	2473	11493	1399	3136	2969	3260	16517	6624	2934	3818	1775	14964	5505	5027	1593	3227	7322	3061	566	1679	1211	28072	15860	10255	5275	14787	0	11493	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	43	171	44	43	42	42	-108	-209	33	33	33	134	33	34	34	33	-1908	-1908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	13	7	0	0	0	-39	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	22263	102951	29001	26146	25264	22540	109067	26038	28201	26593	28236	89036	22382	25321	21707	19626	102900	23220	29867	37009	12804	45822	7752	13732	13674	10663	43403	14091	6974	12707	9631	39433	2152	17285	9945	9253	45703	21769	7217	8785	7912	45782	24965	10496	18263	7145	56432	17502	19071	8820	10963	43900	17494	2795	12052	13590	132356	239	39986	20568	67063	29702	49062	24584
---Cac Chi So Tai Chinh---																																																																
EBITDA	0.98	0.72	0.72	0.56	0.62	-0.09	-0.15	-0.15	-0.20	-0.24	0.12	0.10	0.10	0.43	0.14	0.07	0.38	0.38	0.35	0.40	0.32	0.28	0.28	0.37	0.41	0.56	0.83	0.83	0.82	0.88	0.65	0.05	0.05	0.14	0.40	0.60	0.73	0.73	0.71	0.52	0.53	0.52	0.52	0.84	1.13	1.58	1.84	1.84	1.39	1.21	1.04	0.92	0.92	0.82	0.73	0.37	0.51	0.51	0.33	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	28.20	43.20	43.20	48.00	42.99	38.68	29.82	29.82	30.94	31.09	30.86	33.06	33.06	36.96	34.39	29.00	27.73	27.73	21.25	18.62	15.37	15.82	15.82	14.30	14.61	12.86	12.79	12.79	14.12	12.16	15.05	11.58	11.58	8.17	7.98	7.01	6.84	6.84	6.50	7.85	7.12	6.22	6.22	6.04	6.14	7.02	9.42	9.42	11.32	15.18	16.30	16.04	16.04	10.91	9.04	6.64	10.83	10.83	10.75	0.00	0.00	0.00	0.00	0.00
